City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,durango,24.8333,-104.8333,32.26,9,62,2.44,MX,1686516095
280,san patricio,28.017,-97.5169,38.98,29,0,5.49,US,1686516284
281,humaita,-7.5061,-63.0208,29.63,69,97,0.44,BR,1686516284
282,colesberg,-30.72,25.0972,9.43,27,86,2.86,ZA,1686516285
283,fort bragg,35.139,-79.006,31.91,37,40,4.63,US,1686516285
284,micheweni,-4.9667,39.8333,24.64,79,14,4.57,TZ,1686516285
285,baud,20.8333,84.3167,32.48,30,99,1.0,IN,1686516285
286,port antonio,18.18,-76.4612,32.78,75,13,6.27,JM,1686516285
287,oroqen zizhiqi,50.5667,123.7167,14.4,80,43,1.42,CN,1686516285
288,el charco,2.4769,-78.1105,29.62,69,93,2.88,CO,1686516285
289,newman,37.3138,-121.0208,28.19,25,31,2.33,US,1686516285
290,hammerfest,70.6634,23.6821,9.25,76,75,13.89,NO,1686516285
291,ancud,-41.8697,-73.8203,8.11,80,72,1.24,CL,1686516286
292,tamarin,-20.3256,57.3706,24.31,81,24,3.86,MU,1686516286
293,labuan,5.2767,115.2417,26.2,89,20,1.03,MY,1686516286
294,ar rutbah,33.0381,40.2848,28.38,19,1,5.16,IQ,1686516286
295,kamaishi,39.2667,141.8833,16.63,97,100,3.27,JP,1686516286
296,watampone,-4.5386,120.3279,24.54,89,99,2.79,ID,1686516286
297,ambalangoda,6.2355,80.0538,27.29,83,96,6.05,LK,1686516286
298,okhotsk,59.3833,143.3,8.67,81,57,1.74,RU,1686516286
299,argo,37.6333,22.7333,20.44,82,2,0.88,GR,1686516286
300,udhampur,32.9333,75.1333,24.73,58,19,3.74,IN,1686516286
301,flying fish cove,-10.4217,105.6791,24.82,94,100,4.12,CX,1686516287
302,katsuren-haebaru,26.3369,127.8719,27.01,100,75,2.06,JP,1686516287
303,luderitz,-26.6481,15.1594,13.27,79,16,2.05,NA,1686516287
304,iquique,-20.2208,-70.1431,20.02,76,38,2.35,CL,1686516287
305,afaahiti,-17.75,-149.2833,26.93,68,97,6.78,PF,1686516287
306,kayangel,8.0823,134.7173,28.71,79,79,5.94,PW,1686516287
307,arish,31.1316,33.7984,23.16,68,0,1.04,EG,1686516287
308,suva,-18.1416,178.4415,20.71,94,75,1.54,FJ,1686516102
309,lorengau,-2.0226,147.2712,27.85,79,31,3.04,PG,1686516287
310,stockton heath,53.3708,-2.5741,21.81,80,40,2.57,GB,1686516288
311,mpanda,-6.3655,31.0409,22.08,58,97,0.98,TZ,1686516288
312,san rafael,-34.6177,-68.3301,10.82,21,0,2.22,AR,1686516288
313,monrovia,6.3005,-10.7969,25.87,86,96,3.61,LR,1686516288
314,healesville,-37.65,145.5167,10.35,97,96,1.45,AU,1686516070
315,broken hill,-31.95,141.4333,10.36,58,6,3.37,AU,1686516288
316,sinabang,2.4803,96.3801,26.33,85,96,0.93,ID,1686516288
